"gene","log2FoldChange","padj","status"
"ENSG00000157654.17",-2.0243200837437,4.3132540982996e-130,"DOWN"
"ENSG00000241978.9",-2.01319143618906,4.7467651532937e-130,"DOWN"
"ENSG00000127920.5",-2.18827968787945,1.24301436245352e-129,"DOWN"
"ENSG00000187758.7",-5.14729964836276,2.05324549354671e-129,"DOWN"
"ENSG00000197769.5",-3.75125043049289,5.33008432766559e-129,"DOWN"
"ENSG00000138778.11",2.61088770573135,5.53705787126584e-129,"UP"
"ENSG00000233766.7",-3.92825900542135,1.25820402696031e-128,"DOWN"
"ENSG00000143196.4",-3.56165056249621,1.51245445268454e-128,"DOWN"
"ENSG00000133466.13",2.23162269041505,4.6390057369342e-128,"UP"
"ENSG00000163431.12",-2.66602871619091,5.01288418788167e-128,"DOWN"
"ENSG00000177363.4",-3.36191263901402,6.29933393151264e-128,"DOWN"
"ENSG00000104888.9",-3.01554992751473,6.90537498950252e-128,"DOWN"
"ENSG00000119729.11",-1.51218325157619,7.02263479969612e-128,"DOWN"
"ENSG00000278828.1",4.32890794174955,7.92042763705892e-128,"UP"
"ENSG00000112964.13",-3.14692597651001,1.68919617897798e-127,"DOWN"
"ENSG00000238045.9",1.52471023972852,2.28292975366459e-127,"UP"
"ENSG00000231861.2",-1.7703016206665,2.93081416406192e-127,"DOWN"
"ENSG00000251548.1",-1.79213520073328,3.58202246499732e-127,"DOWN"
"ENSG00000154258.16",-3.56296803736197,5.54715079501355e-127,"DOWN"
"ENSG00000146410.11",2.81249523132664,6.64870167864174e-127,"UP"
"ENSG00000279619.1",-3.79484598924972,6.92462519075746e-127,"DOWN"
"ENSG00000153303.16",-4.39616027699728,6.97504630769313e-127,"DOWN"
"ENSG00000258227.6",3.27948782000801,1.64953016352271e-126,"UP"
"ENSG00000149124.10",-5.96666565522251,2.13147498053182e-126,"DOWN"
"ENSG00000132840.9",-3.17798255308043,8.4203613360627e-126,"DOWN"
"ENSG00000163808.16",2.56237198489398,8.44354890806046e-126,"UP"
"ENSG00000147113.16",-2.06341666302208,8.47150181132246e-126,"DOWN"
"ENSG00000163513.17",-2.22720263691801,9.82925403637125e-126,"DOWN"
"ENSG00000171241.8",2.57859706554803,9.96735537359413e-126,"UP"
"ENSG00000138207.13",-4.95088976229437,1.17439933809764e-125,"DOWN"
"ENSG00000272414.5",-1.91556635210807,1.50836784755112e-125,"DOWN"
"ENSG00000130173.13",-2.02686850092835,1.63764268963676e-125,"DOWN"
"ENSG00000042445.13",-1.72622597735375,1.87163369659586e-125,"DOWN"
"ENSG00000180914.10",-4.09256939848833,2.25673475022689e-125,"DOWN"
"ENSG00000120907.17",-4.56042217646841,7.12941427241672e-125,"DOWN"
"ENSG00000101412.12",2.59693194948959,3.27025802623159e-124,"UP"
"ENSG00000228139.1",-2.71040691693618,3.7565128447074e-124,"DOWN"
"ENSG00000112742.9",2.84727322339326,3.80245026195528e-124,"UP"
"ENSG00000129596.4",-3.65385961035592,4.11587728251239e-124,"DOWN"
"ENSG00000132182.11",1.89138499532013,4.20425165461144e-124,"UP"
"ENSG00000174871.10",3.23980983421028,4.71532694882084e-124,"UP"
"ENSG00000067113.16",-1.63004667981834,5.49442323152351e-124,"DOWN"
"ENSG00000162849.15",2.86299529206756,6.69212041672397e-124,"UP"
